"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.55884","37.96405","23.3"
"28.7.2021 ","0:00","23.55933","37.96761","21.7"
"28.7.2021 ","0:00","23.61804","37.9623","23.4"
"28.7.2021 ","0:00","23.66428","37.96532","24.9"
"28.7.2021 ","0:00","23.5654","37.97789","21.4"
"28.7.2021 ","0:00","23.62415","37.97257","23.4"
"28.7.2021 ","0:00","23.66479","37.96889","25.2"
"28.7.2021 ","0:00","23.58398","37.97982","19.6"
"28.7.2021 ","0:00","23.62015","37.97654","21.4"
"28.7.2021 ","0:00","23.62466","37.97614","21.5"
"28.7.2021 ","0:00","23.62918","37.97572","23.5"
"28.7.2021 ","0:00","23.61615","37.98052","21.1"
"28.7.2021 ","0:00","23.62067","37.98011","21.1"
"28.7.2021 ","0:00","23.62518","37.9797","21.6"
"28.7.2021 ","0:00","23.6297","37.97929","23.6"
"28.7.2021 ","0:00","23.61215","37.98449","20.4"
"28.7.2021 ","0:00","23.61667","37.98408","21.0"
"28.7.2021 ","0:00","23.62119","37.98368","21.3"
"28.7.2021 ","0:00","23.6257","37.98326","21.9"
"28.7.2021 ","0:00","23.63022","37.98285","23.1"
"28.7.2021 ","0:00","23.62622","37.98682","21.9"
"28.7.2021 ","0:00","23.63074","37.9864","23.5"
"28.7.2021 ","0:00","23.62674","37.99038","20.8"
"28.7.2021 ","0:00","23.63126","37.98997","21.1"
"28.7.2021 ","0:00","23.63577","37.98956","22.0"
"28.7.2021 ","0:00","23.63177","37.99353","21.0"
"28.7.2021 ","0:00","23.63629","37.99312","21.4"
"28.7.2021 ","0:00","23.64081","37.99272","23.4"
"28.7.2021 ","0:00","23.63681","37.99668","21.3"
"28.7.2021 ","0:00","23.64133","37.99627","23.8"
"28.7.2021 ","1:00","23.63144","37.92862","24.3"
"28.7.2021 ","1:00","23.63196","37.93218","24.2"
"28.7.2021 ","1:00","23.62796","37.93615","22.6"
"28.7.2021 ","1:00","23.61545","37.9445","23.6"
"28.7.2021 ","1:00","23.61996","37.94409","23.2"
"28.7.2021 ","1:00","23.62448","37.94368","24.0"
"28.7.2021 ","1:00","23.629","37.94326","23.5"
"28.7.2021 ","1:00","23.61652","37.95162","23.6"
"28.7.2021 ","1:00","23.61249","37.95559","23.6"
"28.7.2021 ","1:00","23.617","37.95518","23.9"
"28.7.2021 ","1:00","23.61304","37.95916","23.6"
"28.7.2021 ","1:00","23.68179","37.96011","24.8"
"28.7.2021 ","1:00","23.57391","37.9735","21.7"
"28.7.2021 ","1:00","23.57443","37.97707","19.8"
"28.7.2021 ","1:00","23.57895","37.97666","19.9"
