"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.55884","37.96405","23.2"
"28.7.2021 ","0:00","23.55933","37.96761","21.7"
"28.7.2021 ","0:00","23.61804","37.9623","23.4"
"28.7.2021 ","0:00","23.66428","37.96532","24.9"
"28.7.2021 ","0:00","23.5654","37.97789","21.3"
"28.7.2021 ","0:00","23.62415","37.97257","23.4"
"28.7.2021 ","0:00","23.66479","37.96889","25.2"
"28.7.2021 ","0:00","23.58398","37.97982","19.5"
"28.7.2021 ","0:00","23.62015","37.97654","21.2"
"28.7.2021 ","0:00","23.62466","37.97614","21.4"
"28.7.2021 ","0:00","23.62918","37.97572","23.5"
"28.7.2021 ","0:00","23.61615","37.98052","20.9"
"28.7.2021 ","0:00","23.62067","37.98011","21.0"
"28.7.2021 ","0:00","23.62518","37.9797","21.4"
"28.7.2021 ","0:00","23.6297","37.97929","23.6"
"28.7.2021 ","0:00","23.61215","37.98449","20.3"
"28.7.2021 ","0:00","23.61667","37.98408","20.9"
"28.7.2021 ","0:00","23.62119","37.98368","21.2"
"28.7.2021 ","0:00","23.6257","37.98326","21.7"
"28.7.2021 ","0:00","23.63022","37.98285","23.1"
"28.7.2021 ","0:00","23.62622","37.98682","21.7"
"28.7.2021 ","0:00","23.63074","37.9864","23.3"
"28.7.2021 ","0:00","23.62674","37.99038","20.7"
"28.7.2021 ","0:00","23.63126","37.98997","21.0"
"28.7.2021 ","0:00","23.63577","37.98956","21.7"
"28.7.2021 ","0:00","23.63177","37.99353","20.9"
"28.7.2021 ","0:00","23.63629","37.99312","21.2"
"28.7.2021 ","0:00","23.64081","37.99272","23.0"
"28.7.2021 ","0:00","23.63681","37.99668","21.1"
"28.7.2021 ","0:00","23.64133","37.99627","23.8"
"28.7.2021 ","1:00","23.63144","37.92862","24.2"
"28.7.2021 ","1:00","23.63196","37.93218","24.2"
"28.7.2021 ","1:00","23.62796","37.93615","22.5"
"28.7.2021 ","1:00","23.61545","37.9445","23.5"
"28.7.2021 ","1:00","23.61996","37.94409","23.2"
"28.7.2021 ","1:00","23.62448","37.94368","23.9"
"28.7.2021 ","1:00","23.629","37.94326","23.5"
"28.7.2021 ","1:00","23.61652","37.95162","23.6"
"28.7.2021 ","1:00","23.61249","37.95559","23.5"
"28.7.2021 ","1:00","23.617","37.95518","23.9"
"28.7.2021 ","1:00","23.61304","37.95916","23.5"
"28.7.2021 ","1:00","23.68179","37.96011","24.8"
"28.7.2021 ","1:00","23.57391","37.9735","21.4"
"28.7.2021 ","1:00","23.57443","37.97707","19.7"
"28.7.2021 ","1:00","23.57895","37.97666","19.9"
"28.7.2021 ","1:00","23.62726","37.99395","20.4"
"28.7.2021 ","1:00","23.63177","37.99353","20.3"
"28.7.2021 ","2:00","23.63144","37.92862","22.8"
"28.7.2021 ","2:00","23.63596","37.92821","23.7"
"28.7.2021 ","2:00","23.64047","37.9278","24.0"
"28.7.2021 ","2:00","23.64203","37.93848","23.8"
"28.7.2021 ","2:00","23.65558","37.93724","23.6"
"28.7.2021 ","2:00","23.66165","37.94752","23.1"
"28.7.2021 ","2:00","23.66772","37.95779","23.5"
"28.7.2021 ","2:00","23.66376","37.96175","23.7"
"28.7.2021 ","2:00","23.66824","37.96135","23.3"
"28.7.2021 ","2:00","23.66428","37.96532","23.6"
"28.7.2021 ","2:00","23.66879","37.96491","23.5"
"28.7.2021 ","2:00","23.67331","37.9645","23.9"
"28.7.2021 ","2:00","23.66479","37.96889","23.5"
"28.7.2021 ","2:00","23.66931","37.96847","23.3"
"28.7.2021 ","2:00","23.67383","37.96805","23.9"
"28.7.2021 ","2:00","23.66983","37.97203","23.3"
"28.7.2021 ","2:00","23.67435","37.97161","23.8"
"28.7.2021 ","2:00","23.57095","37.98459","19.2"
"28.7.2021 ","2:00","23.64777","37.97764","23.3"
"28.7.2021 ","2:00","23.66583","37.97601","23.8"
"28.7.2021 ","2:00","23.67035","37.97559","22.5"
"28.7.2021 ","2:00","23.67487","37.97518","23.6"
"28.7.2021 ","2:00","23.6488","37.98477","22.3"
"28.7.2021 ","2:00","23.65332","37.98435","23.0"
"28.7.2021 ","2:00","23.64932","37.98832","22.4"
"28.7.2021 ","2:00","23.65384","37.98791","22.5"
"28.7.2021 ","3:00","23.65558","37.93724","23.3"
"28.7.2021 ","3:00","23.6481","37.94875","22.5"
"28.7.2021 ","3:00","23.64862","37.95232","22.3"
"28.7.2021 ","3:00","23.65314","37.9519","23.3"
"28.7.2021 ","3:00","23.66217","37.95108","23.2"
"28.7.2021 ","3:00","23.64462","37.95628","22.8"
"28.7.2021 ","3:00","23.64914","37.95587","22.5"
"28.7.2021 ","3:00","23.64514","37.95985","22.4"
"28.7.2021 ","3:00","23.64966","37.95943","22.6"
"28.7.2021 ","3:00","23.65417","37.95902","23.1"
"28.7.2021 ","3:00","23.65021","37.96298","23.0"
"28.7.2021 ","3:00","23.65472","37.96259","23.2"
"28.7.2021 ","3:00","23.64273","37.97449","22.6"
"28.7.2021 ","3:00","23.64725","37.97409","23.3"
"28.7.2021 ","3:00","23.64325","37.97806","22.2"
"28.7.2021 ","4:00","23.60956","37.96668","22.9"
"28.7.2021 ","4:00","23.60712","37.98134","21.7"
"28.7.2021 ","4:00","23.66635","37.97956","23.7"
"28.7.2021 ","4:00","23.63074","37.9864","20.9"
"28.7.2021 ","4:00","23.63577","37.98956","20.7"
"28.7.2021 ","4:00","23.63681","37.99668","20.2"
"28.7.2021 ","5:00","23.67676","37.95696","30.7"
"28.7.2021 ","5:00","23.67331","37.9645","30.5"
"28.7.2021 ","5:00","23.67834","37.96764","30.6"
"28.7.2021 ","5:00","23.67886","37.9712","30.5"
"28.7.2021 ","5:00","23.6839","37.97435","30.5"
"28.7.2021 ","6:00","23.66061","37.94039","35.5"
"28.7.2021 ","6:00","23.66113","37.94395","35.6"
"28.7.2021 ","6:00","23.66165","37.94752","35.3"
"28.7.2021 ","6:00","23.66617","37.94711","35.8"
"28.7.2021 ","6:00","23.67068","37.94669","35.9"
"28.7.2021 ","6:00","23.66217","37.95108","35.4"
"28.7.2021 ","6:00","23.66669","37.95068","35.7"
"28.7.2021 ","6:00","23.6712","37.95026","35.9"
"28.7.2021 ","6:00","23.66269","37.95464","35.6"
"28.7.2021 ","6:00","23.66721","37.95422","35.8"
"28.7.2021 ","6:00","23.67172","37.95382","35.7"
"28.7.2021 ","6:00","23.66321","37.9582","35.6"
"28.7.2021 ","6:00","23.66772","37.95779","35.7"
"28.7.2021 ","6:00","23.67224","37.95737","35.8"
"28.7.2021 ","6:00","23.67676","37.95696","35.4"
"28.7.2021 ","6:00","23.66376","37.96175","35.3"
"28.7.2021 ","6:00","23.66824","37.96135","35.7"
"28.7.2021 ","6:00","23.67276","37.96093","35.8"
"28.7.2021 ","6:00","23.67728","37.96052","35.3"
"28.7.2021 ","6:00","23.68179","37.96011","35.3"
"28.7.2021 ","6:00","23.66428","37.96532","35.3"
"28.7.2021 ","6:00","23.66879","37.96491","35.4"
"28.7.2021 ","6:00","23.67331","37.9645","35.4"
"28.7.2021 ","6:00","23.6778","37.96409","35.3"
"28.7.2021 ","6:00","23.68231","37.96367","35.3"
"28.7.2021 ","6:00","23.68683","37.96326","35.2"
"28.7.2021 ","6:00","23.66479","37.96889","35.4"
"28.7.2021 ","6:00","23.66931","37.96847","35.5"
"28.7.2021 ","6:00","23.67383","37.96805","35.4"
"28.7.2021 ","6:00","23.67834","37.96764","35.3"
"28.7.2021 ","6:00","23.68286","37.96724","35.3"
"28.7.2021 ","6:00","23.68738","37.96682","35.2"
"28.7.2021 ","6:00","23.66531","37.97244","35.3"
"28.7.2021 ","6:00","23.66983","37.97203","35.5"
"28.7.2021 ","6:00","23.67435","37.97161","35.4"
"28.7.2021 ","6:00","23.67886","37.9712","35.3"
"28.7.2021 ","6:00","23.68338","37.97079","35.3"
"28.7.2021 ","6:00","23.58902","37.98297","31.3"
"28.7.2021 ","6:00","23.67487","37.97518","35.4"
"28.7.2021 ","6:00","23.67938","37.97477","35.3"
"28.7.2021 ","6:00","23.6839","37.97435","35.2"
"28.7.2021 ","6:00","23.58954","37.98653","32.1"
"28.7.2021 ","7:00","23.61545","37.9445","38.1"
"28.7.2021 ","7:00","23.6561","37.94081","39.6"
