"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.55884","37.96405","21.7"
"28.7.2021 ","0:00","23.59949","37.96038","20.3"
"28.7.2021 ","0:00","23.55933","37.96761","20.0"
"28.7.2021 ","0:00","23.60449","37.96353","21.1"
"28.7.2021 ","0:00","23.64062","37.96025","23.1"
"28.7.2021 ","0:00","23.55533","37.97158","20.8"
"28.7.2021 ","0:00","23.55984","37.97117","19.8"
"28.7.2021 ","0:00","23.60504","37.96709","20.3"
"28.7.2021 ","0:00","23.64117","37.96381","23.0"
"28.7.2021 ","0:00","23.55585","37.97513","20.5"
"28.7.2021 ","0:00","23.60553","37.97065","20.2"
"28.7.2021 ","0:00","23.61456","37.96983","21.8"
"28.7.2021 ","0:00","23.62363","37.96901","22.2"
"28.7.2021 ","0:00","23.62814","37.96861","22.4"
"28.7.2021 ","0:00","23.64169","37.96738","22.9"
"28.7.2021 ","0:00","23.5654","37.97789","19.5"
"28.7.2021 ","0:00","23.60608","37.97421","20.5"
"28.7.2021 ","0:00","23.6106","37.9738","20.9"
"28.7.2021 ","0:00","23.61963","37.97298","22.0"
"28.7.2021 ","0:00","23.62415","37.97257","21.7"
"28.7.2021 ","0:00","23.62866","37.97217","22.1"
"28.7.2021 ","0:00","23.64221","37.97094","22.8"
"28.7.2021 ","0:00","23.64673","37.97052","23.3"
"28.7.2021 ","0:00","23.60205","37.97818","21.1"
"28.7.2021 ","0:00","23.60657","37.97777","20.3"
"28.7.2021 ","0:00","23.61563","37.97696","19.6"
"28.7.2021 ","0:00","23.62015","37.97654","19.5"
"28.7.2021 ","0:00","23.62466","37.97614","19.6"
"28.7.2021 ","0:00","23.62918","37.97572","21.9"
"28.7.2021 ","0:00","23.6337","37.97531","21.7"
"28.7.2021 ","0:00","23.64725","37.97409","23.3"
"28.7.2021 ","0:00","23.65176","37.97367","23.7"
"28.7.2021 ","0:00","23.56644","37.985","17.9"
"28.7.2021 ","0:00","23.6026","37.98175","19.9"
"28.7.2021 ","0:00","23.61163","37.98092","18.9"
"28.7.2021 ","0:00","23.61615","37.98052","19.2"
"28.7.2021 ","0:00","23.62067","37.98011","19.3"
"28.7.2021 ","0:00","23.62518","37.9797","19.7"
"28.7.2021 ","0:00","23.64325","37.97806","22.8"
"28.7.2021 ","0:00","23.64777","37.97764","23.1"
"28.7.2021 ","0:00","23.65228","37.97723","23.5"
"28.7.2021 ","0:00","23.6568","37.97682","23.8"
"28.7.2021 ","0:00","23.60309","37.98529","18.1"
"28.7.2021 ","0:00","23.61215","37.98449","18.5"
"28.7.2021 ","0:00","23.61667","37.98408","19.1"
"28.7.2021 ","0:00","23.62119","37.98368","19.4"
"28.7.2021 ","0:00","23.6257","37.98326","19.9"
"28.7.2021 ","0:00","23.63022","37.98285","21.5"
"28.7.2021 ","0:00","23.64377","37.98162","22.0"
"28.7.2021 ","0:00","23.64828","37.9812","22.7"
"28.7.2021 ","0:00","23.6528","37.98079","23.4"
"28.7.2021 ","0:00","23.65732","37.98039","23.7"
"28.7.2021 ","0:00","23.61267","37.98805","18.2"
"28.7.2021 ","0:00","23.6217","37.98722","19.2"
"28.7.2021 ","0:00","23.62622","37.98682","19.9"
"28.7.2021 ","0:00","23.63074","37.9864","21.7"
"28.7.2021 ","0:00","23.64429","37.98519","22.0"
"28.7.2021 ","0:00","23.6488","37.98477","22.6"
"28.7.2021 ","0:00","23.65332","37.98435","23.1"
"28.7.2021 ","0:00","23.65784","37.98396","23.4"
"28.7.2021 ","0:00","23.62674","37.99038","19.0"
"28.7.2021 ","0:00","23.63126","37.98997","19.3"
"28.7.2021 ","0:00","23.63577","37.98956","20.2"
"28.7.2021 ","0:00","23.64481","37.98874","22.0"
"28.7.2021 ","0:00","23.64932","37.98832","22.9"
"28.7.2021 ","0:00","23.65384","37.98791","22.9"
"28.7.2021 ","0:00","23.64081","37.99272","21.8"
"28.7.2021 ","0:00","23.64532","37.9923","22.2"
"28.7.2021 ","0:00","23.64133","37.99627","22.2"
"28.7.2021 ","1:00","23.61545","37.9445","22.0"
"28.7.2021 ","1:00","23.629","37.94326","22.0"
"28.7.2021 ","1:00","23.55933","37.96761","19.8"
"28.7.2021 ","1:00","23.55533","37.97158","20.6"
"28.7.2021 ","1:00","23.55984","37.97117","19.7"
"28.7.2021 ","1:00","23.68179","37.96011","23.3"
"28.7.2021 ","1:00","23.55585","37.97513","20.3"
