"date","time","lon","lat","mPET"
"30.7.2021 ","0:00","23.67676","37.95696","25.6"
"30.7.2021 ","0:00","23.67276","37.96093","25.8"
"30.7.2021 ","0:00","23.67728","37.96052","25.4"
"30.7.2021 ","0:00","23.68179","37.96011","25.3"
"30.7.2021 ","0:00","23.66428","37.96532","25.6"
"30.7.2021 ","0:00","23.66879","37.96491","25.5"
"30.7.2021 ","0:00","23.67331","37.9645","25.5"
"30.7.2021 ","0:00","23.6778","37.96409","25.4"
"30.7.2021 ","0:00","23.68231","37.96367","25.2"
"30.7.2021 ","0:00","23.68683","37.96326","25.1"
"30.7.2021 ","0:00","23.66479","37.96889","25.5"
"30.7.2021 ","0:00","23.66931","37.96847","25.5"
"30.7.2021 ","0:00","23.67383","37.96805","25.3"
"30.7.2021 ","0:00","23.67834","37.96764","25.1"
"30.7.2021 ","0:00","23.68286","37.96724","25.2"
"30.7.2021 ","0:00","23.68738","37.96682","25.1"
"30.7.2021 ","0:00","23.67435","37.97161","25.1"
"30.7.2021 ","0:00","23.67886","37.9712","25.0"
"30.7.2021 ","0:00","23.68338","37.97079","25.1"
"30.7.2021 ","0:00","23.67938","37.97477","25.0"
"30.7.2021 ","0:00","23.6839","37.97435","25.1"
"30.7.2021 ","1:00","23.67676","37.95696","25.3"
"30.7.2021 ","1:00","23.67728","37.96052","25.2"
"30.7.2021 ","1:00","23.68179","37.96011","25.1"
"30.7.2021 ","1:00","23.66879","37.96491","25.4"
"30.7.2021 ","1:00","23.67331","37.9645","25.3"
"30.7.2021 ","1:00","23.6778","37.96409","25.2"
"30.7.2021 ","1:00","23.68231","37.96367","25.1"
"30.7.2021 ","1:00","23.68683","37.96326","25.0"
"30.7.2021 ","1:00","23.67383","37.96805","25.2"
"30.7.2021 ","1:00","23.67834","37.96764","25.1"
"30.7.2021 ","1:00","23.68286","37.96724","25.1"
"30.7.2021 ","1:00","23.68738","37.96682","24.9"
"30.7.2021 ","1:00","23.67435","37.97161","25.1"
"30.7.2021 ","1:00","23.67886","37.9712","25.0"
"30.7.2021 ","1:00","23.68338","37.97079","25.0"
"30.7.2021 ","1:00","23.67487","37.97518","25.0"
"30.7.2021 ","1:00","23.67938","37.97477","25.1"
"30.7.2021 ","1:00","23.6839","37.97435","25.0"
"30.7.2021 ","2:00","23.61996","37.94409","26.1"
"30.7.2021 ","2:00","23.61145","37.94847","25.1"
"30.7.2021 ","2:00","23.612","37.95202","25.5"
"30.7.2021 ","2:00","23.56787","37.96323","24.2"
"30.7.2021 ","2:00","23.58142","37.96201","24.2"
"30.7.2021 ","2:00","23.56836","37.9668","24.4"
"30.7.2021 ","2:00","23.58191","37.96557","23.9"
"30.7.2021 ","2:00","23.67676","37.95696","25.2"
"30.7.2021 ","2:00","23.67276","37.96093","25.5"
"30.7.2021 ","2:00","23.67728","37.96052","25.2"
"30.7.2021 ","2:00","23.68179","37.96011","25.2"
"30.7.2021 ","2:00","23.67331","37.9645","25.3"
"30.7.2021 ","2:00","23.6778","37.96409","25.2"
"30.7.2021 ","2:00","23.68231","37.96367","25.1"
"30.7.2021 ","2:00","23.68683","37.96326","25.1"
"30.7.2021 ","2:00","23.67383","37.96805","25.2"
"30.7.2021 ","2:00","23.67834","37.96764","25.1"
"30.7.2021 ","2:00","23.68286","37.96724","25.1"
"30.7.2021 ","2:00","23.67435","37.97161","25.1"
"30.7.2021 ","2:00","23.67886","37.9712","25.1"
"30.7.2021 ","2:00","23.68338","37.97079","25.1"
"30.7.2021 ","2:00","23.67938","37.97477","25.1"
"30.7.2021 ","2:00","23.6839","37.97435","25.1"
"30.7.2021 ","3:00","23.58734","37.93983","23.8"
"30.7.2021 ","3:00","23.64307","37.9456","25.5"
"30.7.2021 ","3:00","23.56836","37.9668","24.0"
"30.7.2021 ","3:00","23.68179","37.96011","25.0"
"30.7.2021 ","3:00","23.57391","37.9735","22.3"
"30.7.2021 ","3:00","23.68231","37.96367","25.0"
"30.7.2021 ","3:00","23.68683","37.96326","24.9"
"30.7.2021 ","3:00","23.68286","37.96724","25.0"
"30.7.2021 ","3:00","23.68338","37.97079","25.0"
"30.7.2021 ","3:00","23.6839","37.97435","25.0"
"30.7.2021 ","4:00","23.68231","37.96367","25.7"
"30.7.2021 ","4:00","23.68286","37.96724","25.7"
"30.7.2021 ","4:00","23.68338","37.97079","25.7"
"30.7.2021 ","5:00","23.67676","37.95696","31.4"
"30.7.2021 ","5:00","23.66879","37.96491","31.6"
"30.7.2021 ","5:00","23.67331","37.9645","31.4"
"30.7.2021 ","5:00","23.68231","37.96367","31.3"
"30.7.2021 ","5:00","23.68683","37.96326","31.1"
"30.7.2021 ","5:00","23.67834","37.96764","31.3"
"30.7.2021 ","5:00","23.68286","37.96724","31.2"
"30.7.2021 ","5:00","23.68338","37.97079","31.2"
"30.7.2021 ","5:00","23.6839","37.97435","31.3"
"30.7.2021 ","6:00","23.67676","37.95696","37.4"
"30.7.2021 ","6:00","23.66376","37.96175","37.4"
"30.7.2021 ","6:00","23.66824","37.96135","37.5"
"30.7.2021 ","6:00","23.67276","37.96093","37.6"
"30.7.2021 ","6:00","23.67728","37.96052","37.4"
"30.7.2021 ","6:00","23.68179","37.96011","37.4"
"30.7.2021 ","6:00","23.66428","37.96532","37.5"
"30.7.2021 ","6:00","23.66879","37.96491","37.6"
"30.7.2021 ","6:00","23.67331","37.9645","37.5"
"30.7.2021 ","6:00","23.6778","37.96409","37.5"
"30.7.2021 ","6:00","23.68231","37.96367","37.4"
"30.7.2021 ","6:00","23.68683","37.96326","37.3"
"30.7.2021 ","6:00","23.66479","37.96889","37.5"
"30.7.2021 ","6:00","23.66931","37.96847","37.6"
"30.7.2021 ","6:00","23.67383","37.96805","37.5"
"30.7.2021 ","6:00","23.67834","37.96764","37.4"
"30.7.2021 ","6:00","23.68286","37.96724","37.4"
"30.7.2021 ","6:00","23.68738","37.96682","37.3"
"30.7.2021 ","6:00","23.67435","37.97161","37.5"
"30.7.2021 ","6:00","23.67886","37.9712","37.4"
"30.7.2021 ","6:00","23.68338","37.97079","37.4"
"30.7.2021 ","6:00","23.67938","37.97477","37.4"
"30.7.2021 ","6:00","23.6839","37.97435","37.4"
"30.7.2021 ","7:00","23.66061","37.94039","41.9"
"30.7.2021 ","7:00","23.66113","37.94395","41.7"
"30.7.2021 ","7:00","23.66165","37.94752","41.6"
"30.7.2021 ","7:00","23.67068","37.94669","41.9"
"30.7.2021 ","7:00","23.66217","37.95108","41.6"
"30.7.2021 ","7:00","23.6712","37.95026","41.9"
"30.7.2021 ","7:00","23.66721","37.95422","41.8"
"30.7.2021 ","7:00","23.67172","37.95382","41.9"
"30.7.2021 ","7:00","23.66321","37.9582","41.6"
"30.7.2021 ","7:00","23.66772","37.95779","41.8"
"30.7.2021 ","7:00","23.67224","37.95737","41.9"
"30.7.2021 ","7:00","23.67676","37.95696","41.7"
"30.7.2021 ","7:00","23.65924","37.96217","42.1"
"30.7.2021 ","7:00","23.66376","37.96175","41.7"
"30.7.2021 ","7:00","23.66824","37.96135","41.9"
"30.7.2021 ","7:00","23.67276","37.96093","41.9"
"30.7.2021 ","7:00","23.67728","37.96052","41.6"
"30.7.2021 ","7:00","23.68179","37.96011","41.6"
"30.7.2021 ","7:00","23.65976","37.96572","42.1"
"30.7.2021 ","7:00","23.66428","37.96532","41.7"
"30.7.2021 ","7:00","23.66879","37.96491","41.9"
"30.7.2021 ","7:00","23.67331","37.9645","41.9"
"30.7.2021 ","7:00","23.6778","37.96409","41.7"
"30.7.2021 ","7:00","23.68231","37.96367","41.6"
"30.7.2021 ","7:00","23.68683","37.96326","41.4"
"30.7.2021 ","7:00","23.66479","37.96889","41.7"
"30.7.2021 ","7:00","23.66931","37.96847","42.0"
"30.7.2021 ","7:00","23.67383","37.96805","41.9"
"30.7.2021 ","7:00","23.67834","37.96764","41.6"
"30.7.2021 ","7:00","23.68286","37.96724","41.6"
"30.7.2021 ","7:00","23.68738","37.96682","41.4"
"30.7.2021 ","7:00","23.66531","37.97244","41.8"
"30.7.2021 ","7:00","23.66983","37.97203","42.0"
"30.7.2021 ","7:00","23.67435","37.97161","41.8"
"30.7.2021 ","7:00","23.67886","37.9712","41.6"
"30.7.2021 ","7:00","23.68338","37.97079","41.6"
"30.7.2021 ","7:00","23.67487","37.97518","41.7"
"30.7.2021 ","7:00","23.67938","37.97477","41.6"
"30.7.2021 ","7:00","23.6839","37.97435","41.5"
"30.7.2021 ","8:00","23.64551","37.93095","44.3"
"30.7.2021 ","8:00","23.65558","37.93724","44.8"
"30.7.2021 ","8:00","23.6561","37.94081","44.8"
"30.7.2021 ","8:00","23.66061","37.94039","44.5"
"30.7.2021 ","8:00","23.65662","37.94437","44.6"
"30.7.2021 ","8:00","23.66113","37.94395","44.5"
"30.7.2021 ","8:00","23.65714","37.94792","44.5"
"30.7.2021 ","8:00","23.66165","37.94752","44.5"
"30.7.2021 ","8:00","23.66617","37.94711","44.5"
"30.7.2021 ","8:00","23.67068","37.94669","44.5"
"30.7.2021 ","8:00","23.65314","37.9519","44.1"
"30.7.2021 ","8:00","23.65765","37.95149","44.6"
"30.7.2021 ","8:00","23.66217","37.95108","44.5"
"30.7.2021 ","8:00","23.66669","37.95068","44.5"
"30.7.2021 ","8:00","23.6712","37.95026","44.5"
"30.7.2021 ","8:00","23.65366","37.95545","44.3"
"30.7.2021 ","8:00","23.65817","37.95505","44.5"
"30.7.2021 ","8:00","23.66269","37.95464","44.5"
"30.7.2021 ","8:00","23.66721","37.95422","44.5"
"30.7.2021 ","8:00","23.67172","37.95382","44.6"
"30.7.2021 ","8:00","23.65869","37.9586","44.5"
"30.7.2021 ","8:00","23.66321","37.9582","44.4"
"30.7.2021 ","8:00","23.66772","37.95779","44.4"
"30.7.2021 ","8:00","23.67224","37.95737","44.5"
"30.7.2021 ","8:00","23.67676","37.95696","44.4"
"30.7.2021 ","8:00","23.65924","37.96217","44.5"
"30.7.2021 ","8:00","23.66376","37.96175","44.5"
"30.7.2021 ","8:00","23.66824","37.96135","44.5"
"30.7.2021 ","8:00","23.67276","37.96093","44.5"
"30.7.2021 ","8:00","23.67728","37.96052","44.4"
"30.7.2021 ","8:00","23.68179","37.96011","44.4"
"30.7.2021 ","8:00","23.65976","37.96572","44.5"
"30.7.2021 ","8:00","23.66428","37.96532","44.4"
"30.7.2021 ","8:00","23.66879","37.96491","44.4"
"30.7.2021 ","8:00","23.67331","37.9645","44.5"
"30.7.2021 ","8:00","23.6778","37.96409","44.5"
"30.7.2021 ","8:00","23.68231","37.96367","44.4"
"30.7.2021 ","8:00","23.68683","37.96326","44.2"
"30.7.2021 ","8:00","23.66028","37.96928","44.5"
"30.7.2021 ","8:00","23.66479","37.96889","44.4"
"30.7.2021 ","8:00","23.66931","37.96847","44.3"
