"date","time","lon","lat","mPET"
"30.7.2021 ","0:00","23.67676","37.95696","24.0"
"30.7.2021 ","0:00","23.67728","37.96052","23.8"
"30.7.2021 ","0:00","23.68179","37.96011","23.7"
"30.7.2021 ","0:00","23.67331","37.9645","23.8"
"30.7.2021 ","0:00","23.6778","37.96409","23.7"
"30.7.2021 ","0:00","23.68231","37.96367","23.6"
"30.7.2021 ","0:00","23.68683","37.96326","23.5"
"30.7.2021 ","0:00","23.67383","37.96805","23.7"
"30.7.2021 ","0:00","23.67834","37.96764","23.5"
"30.7.2021 ","0:00","23.68286","37.96724","23.5"
"30.7.2021 ","0:00","23.68738","37.96682","23.5"
"30.7.2021 ","0:00","23.67435","37.97161","23.5"
"30.7.2021 ","0:00","23.67886","37.9712","23.4"
"30.7.2021 ","0:00","23.68338","37.97079","23.4"
"30.7.2021 ","0:00","23.67938","37.97477","23.4"
"30.7.2021 ","0:00","23.6839","37.97435","23.5"
"30.7.2021 ","1:00","23.68179","37.96011","23.5"
"30.7.2021 ","1:00","23.6778","37.96409","23.5"
"30.7.2021 ","1:00","23.68231","37.96367","23.4"
"30.7.2021 ","1:00","23.68683","37.96326","23.3"
"30.7.2021 ","1:00","23.67834","37.96764","23.5"
"30.7.2021 ","1:00","23.68286","37.96724","23.4"
"30.7.2021 ","1:00","23.68738","37.96682","23.3"
"30.7.2021 ","1:00","23.67435","37.97161","23.4"
"30.7.2021 ","1:00","23.67886","37.9712","23.4"
"30.7.2021 ","1:00","23.68338","37.97079","23.4"
"30.7.2021 ","1:00","23.58954","37.98653","20.3"
"30.7.2021 ","2:00","23.61545","37.9445","23.6"
"30.7.2021 ","2:00","23.61145","37.94847","23.5"
"30.7.2021 ","2:00","23.61597","37.94806","24.0"
"30.7.2021 ","2:00","23.612","37.95202","23.9"
"30.7.2021 ","2:00","23.56787","37.96323","22.6"
"30.7.2021 ","2:00","23.58142","37.96201","22.6"
"30.7.2021 ","2:00","23.56836","37.9668","22.7"
"30.7.2021 ","2:00","23.58191","37.96557","22.3"
"30.7.2021 ","2:00","23.67676","37.95696","23.6"
"30.7.2021 ","2:00","23.57339","37.96995","21.5"
"30.7.2021 ","2:00","23.67728","37.96052","23.6"
"30.7.2021 ","2:00","23.67331","37.9645","23.7"
"30.7.2021 ","2:00","23.6778","37.96409","23.6"
"30.7.2021 ","2:00","23.68231","37.96367","23.5"
"30.7.2021 ","2:00","23.67834","37.96764","23.5"
"30.7.2021 ","2:00","23.68286","37.96724","23.5"
"30.7.2021 ","2:00","23.6839","37.97435","23.5"
"30.7.2021 ","3:00","23.58734","37.93983","22.1"
"30.7.2021 ","3:00","23.64307","37.9456","23.9"
"30.7.2021 ","3:00","23.56787","37.96323","22.3"
"30.7.2021 ","3:00","23.56836","37.9668","22.3"
"30.7.2021 ","3:00","23.57288","37.96638","22.9"
"30.7.2021 ","6:00","23.67676","37.95696","35.9"
"30.7.2021 ","6:00","23.66824","37.96135","36.0"
"30.7.2021 ","6:00","23.67276","37.96093","36.1"
"30.7.2021 ","6:00","23.67728","37.96052","35.9"
"30.7.2021 ","6:00","23.68179","37.96011","35.9"
"30.7.2021 ","6:00","23.66428","37.96532","36.0"
"30.7.2021 ","6:00","23.66879","37.96491","36.1"
"30.7.2021 ","6:00","23.67331","37.9645","36.0"
"30.7.2021 ","6:00","23.68231","37.96367","35.9"
"30.7.2021 ","6:00","23.68683","37.96326","35.8"
"30.7.2021 ","6:00","23.66931","37.96847","36.1"
"30.7.2021 ","6:00","23.67383","37.96805","36.0"
"30.7.2021 ","6:00","23.67834","37.96764","35.9"
"30.7.2021 ","6:00","23.68286","37.96724","35.9"
"30.7.2021 ","6:00","23.68738","37.96682","35.8"
"30.7.2021 ","6:00","23.67435","37.97161","36.0"
"30.7.2021 ","6:00","23.67886","37.9712","35.9"
"30.7.2021 ","6:00","23.68338","37.97079","35.9"
"30.7.2021 ","6:00","23.67938","37.97477","35.9"
"30.7.2021 ","6:00","23.6839","37.97435","35.9"
"30.7.2021 ","7:00","23.66061","37.94039","40.4"
"30.7.2021 ","7:00","23.66113","37.94395","40.2"
"30.7.2021 ","7:00","23.66165","37.94752","40.1"
"30.7.2021 ","7:00","23.67068","37.94669","40.4"
"30.7.2021 ","7:00","23.6712","37.95026","40.4"
"30.7.2021 ","7:00","23.67172","37.95382","40.5"
"30.7.2021 ","7:00","23.66321","37.9582","40.2"
"30.7.2021 ","7:00","23.66772","37.95779","40.3"
"30.7.2021 ","7:00","23.67224","37.95737","40.5"
"30.7.2021 ","7:00","23.67676","37.95696","40.3"
"30.7.2021 ","7:00","23.65924","37.96217","40.6"
"30.7.2021 ","7:00","23.66376","37.96175","40.3"
"30.7.2021 ","7:00","23.66824","37.96135","40.5"
"30.7.2021 ","7:00","23.67276","37.96093","40.5"
"30.7.2021 ","7:00","23.67728","37.96052","40.2"
"30.7.2021 ","7:00","23.68179","37.96011","40.1"
"30.7.2021 ","7:00","23.65976","37.96572","40.7"
"30.7.2021 ","7:00","23.66428","37.96532","40.2"
"30.7.2021 ","7:00","23.66879","37.96491","40.4"
"30.7.2021 ","7:00","23.67331","37.9645","40.5"
"30.7.2021 ","7:00","23.6778","37.96409","40.2"
"30.7.2021 ","7:00","23.68231","37.96367","40.1"
"30.7.2021 ","7:00","23.68683","37.96326","40.0"
"30.7.2021 ","7:00","23.66479","37.96889","40.2"
"30.7.2021 ","7:00","23.66931","37.96847","40.5"
"30.7.2021 ","7:00","23.67383","37.96805","40.4"
"30.7.2021 ","7:00","23.67834","37.96764","40.1"
"30.7.2021 ","7:00","23.68286","37.96724","40.1"
"30.7.2021 ","7:00","23.68738","37.96682","40.0"
"30.7.2021 ","7:00","23.66531","37.97244","40.3"
"30.7.2021 ","7:00","23.66983","37.97203","40.5"
"30.7.2021 ","7:00","23.67435","37.97161","40.4"
"30.7.2021 ","7:00","23.67886","37.9712","40.1"
"30.7.2021 ","7:00","23.68338","37.97079","40.1"
"30.7.2021 ","7:00","23.67487","37.97518","40.3"
"30.7.2021 ","7:00","23.67938","37.97477","40.2"
"30.7.2021 ","7:00","23.6839","37.97435","40.1"
"30.7.2021 ","8:00","23.65558","37.93724","43.3"
"30.7.2021 ","8:00","23.6561","37.94081","43.3"
"30.7.2021 ","8:00","23.66061","37.94039","43.1"
"30.7.2021 ","8:00","23.65662","37.94437","43.2"
"30.7.2021 ","8:00","23.66113","37.94395","43.0"
"30.7.2021 ","8:00","23.65714","37.94792","43.1"
"30.7.2021 ","8:00","23.66165","37.94752","43.0"
"30.7.2021 ","8:00","23.66617","37.94711","43.0"
"30.7.2021 ","8:00","23.67068","37.94669","43.0"
"30.7.2021 ","8:00","23.65765","37.95149","43.1"
"30.7.2021 ","8:00","23.66217","37.95108","43.0"
"30.7.2021 ","8:00","23.66669","37.95068","43.0"
"30.7.2021 ","8:00","23.6712","37.95026","43.1"
"30.7.2021 ","8:00","23.65366","37.95545","42.9"
"30.7.2021 ","8:00","23.65817","37.95505","43.1"
"30.7.2021 ","8:00","23.66269","37.95464","43.1"
"30.7.2021 ","8:00","23.66721","37.95422","43.0"
"30.7.2021 ","8:00","23.67172","37.95382","43.1"
"30.7.2021 ","8:00","23.65869","37.9586","43.0"
"30.7.2021 ","8:00","23.66321","37.9582","43.0"
"30.7.2021 ","8:00","23.66772","37.95779","43.0"
"30.7.2021 ","8:00","23.67224","37.95737","43.0"
"30.7.2021 ","8:00","23.67676","37.95696","43.0"
"30.7.2021 ","8:00","23.65924","37.96217","43.0"
"30.7.2021 ","8:00","23.66376","37.96175","43.1"
"30.7.2021 ","8:00","23.66824","37.96135","43.0"
"30.7.2021 ","8:00","23.67276","37.96093","43.1"
"30.7.2021 ","8:00","23.67728","37.96052","43.0"
"30.7.2021 ","8:00","23.68179","37.96011","43.0"
"30.7.2021 ","8:00","23.65976","37.96572","43.0"
"30.7.2021 ","8:00","23.66428","37.96532","42.9"
"30.7.2021 ","8:00","23.66879","37.96491","42.9"
"30.7.2021 ","8:00","23.67331","37.9645","43.1"
"30.7.2021 ","8:00","23.6778","37.96409","43.0"
"30.7.2021 ","8:00","23.68231","37.96367","43.0"
"30.7.2021 ","8:00","23.68683","37.96326","42.8"
"30.7.2021 ","8:00","23.66028","37.96928","43.0"
"30.7.2021 ","8:00","23.66479","37.96889","42.9"
"30.7.2021 ","8:00","23.66931","37.96847","42.9"
"30.7.2021 ","8:00","23.67383","37.96805","43.0"
"30.7.2021 ","8:00","23.67834","37.96764","42.9"
"30.7.2021 ","8:00","23.68286","37.96724","43.0"
"30.7.2021 ","8:00","23.68738","37.96682","42.8"
"30.7.2021 ","8:00","23.66531","37.97244","42.9"
"30.7.2021 ","8:00","23.66983","37.97203","42.8"
"30.7.2021 ","8:00","23.67435","37.97161","43.0"
"30.7.2021 ","8:00","23.67886","37.9712","42.9"
"30.7.2021 ","8:00","23.68338","37.97079","43.0"
"30.7.2021 ","8:00","23.67487","37.97518","42.9"
"30.7.2021 ","8:00","23.67938","37.97477","42.9"
"30.7.2021 ","8:00","23.6839","37.97435","42.9"
"30.7.2021 ","9:00","23.64551","37.93095","44.4"
"30.7.2021 ","9:00","23.64603","37.9345","44.5"
"30.7.2021 ","9:00","23.65054","37.9341","36.7"
"30.7.2021 ","9:00","23.65106","37.93765","44.6"
"30.7.2021 ","9:00","23.65158","37.94122","44.5"
