"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.65784","37.98396","24.8"
"28.7.2021 ","0:00","23.66235","37.98354","25.2"
"28.7.2021 ","0:00","23.64932","37.98832","24.3"
"28.7.2021 ","0:00","23.65384","37.98791","24.3"
"28.7.2021 ","0:00","23.65836","37.9875","24.7"
"28.7.2021 ","0:00","23.66287","37.9871","25.2"
"28.7.2021 ","0:00","23.64532","37.9923","23.6"
"28.7.2021 ","0:00","23.64984","37.99189","23.9"
"28.7.2021 ","0:00","23.65436","37.99148","24.0"
"28.7.2021 ","0:00","23.65887","37.99107","24.5"
"28.7.2021 ","0:00","23.66339","37.99065","24.8"
"28.7.2021 ","0:00","23.60516","37.99955","20.2"
"28.7.2021 ","0:00","23.60971","37.99914","19.2"
"28.7.2021 ","0:00","23.64133","37.99627","23.7"
"28.7.2021 ","0:00","23.65488","37.99504","24.0"
"28.7.2021 ","0:00","23.65939","37.99464","24.4"
"28.7.2021 ","0:00","23.66391","37.99422","24.8"
"28.7.2021 ","0:00","23.61023","38.0027","19.8"
"28.7.2021 ","0:00","23.61475","38.00229","19.3"
"28.7.2021 ","0:00","23.64636","37.99941","22.1"
"28.7.2021 ","0:00","23.65088","37.99901","22.1"
"28.7.2021 ","0:00","23.6554","37.9986","22.8"
"28.7.2021 ","0:00","23.65991","37.99819","24.2"
"28.7.2021 ","0:00","23.66443","37.99778","24.8"
"28.7.2021 ","0:00","23.61526","38.00586","19.7"
"28.7.2021 ","0:00","23.61978","38.00545","19.0"
"28.7.2021 ","0:00","23.6243","38.00504","18.9"
"28.7.2021 ","0:00","23.62881","38.00462","19.3"
"28.7.2021 ","0:00","23.63333","38.00422","20.4"
"28.7.2021 ","0:00","23.63785","38.00381","21.3"
"28.7.2021 ","0:00","23.66046","38.00175","24.2"
"28.7.2021 ","0:00","23.6022","38.01065","22.2"
"28.7.2021 ","0:00","23.60675","38.01023","21.4"
"28.7.2021 ","0:00","23.6203","38.00901","20.0"
"28.7.2021 ","0:00","23.62482","38.00859","19.7"
"28.7.2021 ","0:00","23.60724","38.0138","22.1"
"28.7.2021 ","0:00","23.62534","38.01216","20.7"
