"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.65784","37.98396","23.3"
"28.7.2021 ","0:00","23.66235","37.98354","23.7"
"28.7.2021 ","0:00","23.64932","37.98832","22.7"
"28.7.2021 ","0:00","23.65384","37.98791","22.8"
"28.7.2021 ","0:00","23.65836","37.9875","23.2"
"28.7.2021 ","0:00","23.66287","37.9871","23.7"
"28.7.2021 ","0:00","23.62274","37.99435","18.3"
"28.7.2021 ","0:00","23.62726","37.99395","18.7"
"28.7.2021 ","0:00","23.64532","37.9923","22.0"
"28.7.2021 ","0:00","23.64984","37.99189","22.3"
"28.7.2021 ","0:00","23.65436","37.99148","22.5"
"28.7.2021 ","0:00","23.65887","37.99107","23.0"
"28.7.2021 ","0:00","23.66339","37.99065","23.3"
"28.7.2021 ","0:00","23.60516","37.99955","18.6"
"28.7.2021 ","0:00","23.60971","37.99914","17.5"
"28.7.2021 ","0:00","23.63681","37.99668","19.5"
"28.7.2021 ","0:00","23.65488","37.99504","22.5"
"28.7.2021 ","0:00","23.65939","37.99464","22.9"
"28.7.2021 ","0:00","23.66391","37.99422","23.2"
"28.7.2021 ","0:00","23.61023","38.0027","18.4"
"28.7.2021 ","0:00","23.61475","38.00229","17.5"
"28.7.2021 ","0:00","23.61926","38.00188","17.5"
"28.7.2021 ","0:00","23.64636","37.99941","20.6"
"28.7.2021 ","0:00","23.65088","37.99901","20.7"
"28.7.2021 ","0:00","23.6554","37.9986","21.3"
"28.7.2021 ","0:00","23.65991","37.99819","22.6"
"28.7.2021 ","0:00","23.66443","37.99778","23.2"
"28.7.2021 ","0:00","23.61978","38.00545","17.3"
"28.7.2021 ","0:00","23.6243","38.00504","17.1"
"28.7.2021 ","0:00","23.62881","38.00462","17.5"
"28.7.2021 ","0:00","23.66046","38.00175","22.6"
"28.7.2021 ","0:00","23.6022","38.01065","20.5"
"28.7.2021 ","0:00","23.60675","38.01023","19.5"
"28.7.2021 ","0:00","23.61578","38.00941","18.6"
"28.7.2021 ","0:00","23.62482","38.00859","18.0"
"28.7.2021 ","0:00","23.60724","38.0138","20.3"
"28.7.2021 ","0:00","23.61179","38.01338","19.9"
"28.7.2021 ","0:00","23.61682","38.01655","20.2"
"28.7.2021 ","0:00","23.62134","38.01612","19.9"
"28.7.2021 ","0:00","23.62585","38.01572","19.7"
"28.7.2021 ","0:00","23.63089","38.01886","20.1"
"28.7.2021 ","0:00","23.63541","38.01846","19.6"
"28.7.2021 ","0:00","23.63992","38.01805","21.0"
"28.7.2021 ","0:00","23.63593","38.02203","20.2"
"28.7.2021 ","0:00","23.64044","38.02161","19.6"
"28.7.2021 ","0:00","23.64499","38.0212","21.0"
"28.7.2021 ","0:00","23.65906","38.02353","20.6"
"28.7.2021 ","0:00","23.6907","38.02065","23.2"
"28.7.2021 ","0:00","23.65054","38.02792","19.6"
"28.7.2021 ","0:00","23.65506","38.0275","20.4"
"28.7.2021 ","0:00","23.65958","38.02709","22.0"
"28.7.2021 ","0:00","23.66409","38.02668","22.2"
"28.7.2021 ","0:00","23.65558","38.03107","20.7"
"28.7.2021 ","0:00","23.6601","38.03065","20.9"
"28.7.2021 ","0:00","23.66461","38.03023","21.3"
"28.7.2021 ","0:00","23.66913","38.02982","22.9"
"28.7.2021 ","0:00","23.66061","38.03421","20.2"
"28.7.2021 ","0:00","23.66516","38.03379","21.2"
"28.7.2021 ","0:00","23.66968","38.03339","22.4"
"28.7.2021 ","0:00","23.71939","38.02884","22.3"
"28.7.2021 ","0:00","23.66113","38.03777","20.2"
"28.7.2021 ","0:00","23.66568","38.03736","21.3"
"28.7.2021 ","0:00","23.6702","38.03695","22.8"
"28.7.2021 ","0:00","23.67471","38.03653","23.2"
"28.7.2021 ","0:00","23.67923","38.03612","23.3"
"28.7.2021 ","0:00","23.67975","38.03968","23.5"
"28.7.2021 ","0:00","23.67575","38.04367","23.0"
"28.7.2021 ","0:00","23.67175","38.04763","21.4"
"28.7.2021 ","0:00","23.70795","38.04432","23.1"
"28.7.2021 ","0:00","23.70847","38.04789","22.9"
"28.7.2021 ","0:00","23.7135","38.05103","22.5"
"28.7.2021 ","1:00","23.59717","38.00748","19.5"
"28.7.2021 ","1:00","23.59769","38.01105","19.8"
"28.7.2021 ","1:00","23.71121","38.00434","22.0"
"28.7.2021 ","1:00","23.7027","38.00872","22.9"
"28.7.2021 ","1:00","23.70721","38.00831","22.1"
"28.7.2021 ","1:00","23.71173","38.0079","22.3"
"28.7.2021 ","1:00","23.70773","38.01187","22.1"
"28.7.2021 ","1:00","23.71225","38.01146","22.8"
"28.7.2021 ","1:00","23.71677","38.01104","22.8"
"28.7.2021 ","1:00","23.69922","38.01625","23.1"
"28.7.2021 ","1:00","23.71277","38.01502","22.1"
"28.7.2021 ","1:00","23.71729","38.01461","23.1"
"28.7.2021 ","1:00","23.70425","38.01941","22.4"
"28.7.2021 ","1:00","23.71783","38.01816","22.3"
"28.7.2021 ","1:00","23.66861","38.02626","21.5"
"28.7.2021 ","1:00","23.70477","38.02297","23.1"
"28.7.2021 ","1:00","23.70929","38.02256","22.2"
"28.7.2021 ","1:00","23.71835","38.02172","22.0"
"28.7.2021 ","1:00","23.70984","38.02611","22.5"
"28.7.2021 ","1:00","23.71436","38.0257","22.1"
"28.7.2021 ","1:00","23.70584","38.03009","22.3"
"28.7.2021 ","1:00","23.71036","38.02967","21.7"
"28.7.2021 ","1:00","23.71088","38.03324","21.6"
"28.7.2021 ","1:00","23.67975","38.03968","23.0"
"28.7.2021 ","1:00","23.7114","38.03679","22.0"
"28.7.2021 ","1:00","23.66672","38.04448","18.8"
"28.7.2021 ","1:00","23.68985","38.04598","22.7"
"28.7.2021 ","1:00","23.67734","38.05434","21.4"
"28.7.2021 ","2:00","23.65887","37.99107","21.3"
"28.7.2021 ","2:00","23.67694","37.98942","22.0"
"28.7.2021 ","2:00","23.67401","38.00051","21.0"
"28.7.2021 ","2:00","23.60675","38.01023","17.1"
"28.7.2021 ","2:00","23.6846","38.01038","22.4"
"28.7.2021 ","2:00","23.68512","38.01393","22.2"
"28.7.2021 ","2:00","23.67209","38.01873","20.2"
"28.7.2021 ","2:00","23.68567","38.0175","22.3"
"28.7.2021 ","2:00","23.67261","38.02229","20.2"
"28.7.2021 ","2:00","23.67316","38.02584","20.8"
"28.7.2021 ","2:00","23.68533","38.0464","22.1"
"28.7.2021 ","2:00","23.6954","38.0527","21.9"
"28.7.2021 ","3:00","23.64932","37.98832","20.5"
"28.7.2021 ","3:00","23.68201","37.99257","22.0"
"28.7.2021 ","3:00","23.68253","37.99613","22.2"
"28.7.2021 ","3:00","23.60675","38.01023","16.4"
"28.7.2021 ","3:00","23.64288","38.00695","16.8"
"28.7.2021 ","3:00","23.62134","38.01612","17.0"
"28.7.2021 ","3:00","23.6394","38.01449","17.2"
"28.7.2021 ","3:00","23.63992","38.01805","18.3"
"28.7.2021 ","3:00","23.68079","38.04681","20.8"
"28.7.2021 ","3:00","23.70795","38.04432","21.2"
"28.7.2021 ","3:00","23.69489","38.04913","21.9"
"28.7.2021 ","3:00","23.71298","38.04748","22.1"
"28.7.2021 ","3:00","23.7135","38.05103","21.7"
"28.7.2021 ","3:00","23.71909","38.05775","21.9"
"28.7.2021 ","4:00","23.66183","37.97997","23.1"
"28.7.2021 ","4:00","23.66635","37.97956","22.1"
"28.7.2021 ","4:00","23.65784","37.98396","22.3"
"28.7.2021 ","4:00","23.66235","37.98354","23.0"
"28.7.2021 ","4:00","23.57251","37.99528","19.4"
"28.7.2021 ","4:00","23.64932","37.98832","21.6"
"28.7.2021 ","4:00","23.65384","37.98791","21.7"
"28.7.2021 ","4:00","23.65836","37.9875","22.5"
"28.7.2021 ","4:00","23.64984","37.99189","19.9"
"28.7.2021 ","4:00","23.65436","37.99148","21.1"
"28.7.2021 ","4:00","23.65887","37.99107","22.5"
"28.7.2021 ","4:00","23.66339","37.99065","21.4"
"28.7.2021 ","4:00","23.64133","37.99627","20.1"
"28.7.2021 ","4:00","23.65488","37.99504","20.5"
"28.7.2021 ","4:00","23.65939","37.99464","21.6"
"28.7.2021 ","4:00","23.66391","37.99422","21.7"
"28.7.2021 ","4:00","23.65088","37.99901","19.2"
"28.7.2021 ","4:00","23.6554","37.9986","19.7"
"28.7.2021 ","4:00","23.65991","37.99819","20.8"
"28.7.2021 ","4:00","23.66443","37.99778","22.3"
"28.7.2021 ","4:00","23.6514","38.00256","19.2"
"28.7.2021 ","4:00","23.64844","38.01366","19.6"
"28.7.2021 ","4:00","23.64899","38.01723","19.6"
"28.7.2021 ","4:00","23.69019","38.01708","23.1"
"28.7.2021 ","4:00","23.6907","38.02065","23.1"
"28.7.2021 ","4:00","23.69122","38.02421","23.0"
"28.7.2021 ","4:00","23.66516","38.03379","19.3"
"28.7.2021 ","4:00","23.69678","38.03091","22.4"
"28.7.2021 ","4:00","23.69733","38.03448","22.6"
"28.7.2021 ","4:00","23.69785","38.03802","22.6"
"28.7.2021 ","4:00","23.72046","38.03597","21.8"
"28.7.2021 ","4:00","23.69836","38.04159","23.0"
"28.7.2021 ","4:00","23.72098","38.03954","22.2"
"28.7.2021 ","4:00","23.69888","38.04515","22.9"
"28.7.2021 ","5:00","23.67938","37.97477","29.3"
"28.7.2021 ","5:00","23.6839","37.97435","29.2"
"28.7.2021 ","5:00","23.6799","37.97832","29.3"
"28.7.2021 ","5:00","23.68442","37.97792","29.3"
"28.7.2021 ","5:00","23.68494","37.98148","29.3"
"28.7.2021 ","5:00","23.68945","37.98106","29.3"
"28.7.2021 ","5:00","23.68997","37.98463","29.3"
"28.7.2021 ","6:00","23.67487","37.97518","34.7"
"28.7.2021 ","6:00","23.67938","37.97477","34.3"
"28.7.2021 ","6:00","23.6839","37.97435","34.2"
"28.7.2021 ","6:00","23.67538","37.97873","34.7"
"28.7.2021 ","6:00","23.6799","37.97832","34.2"
"28.7.2021 ","6:00","23.68442","37.97792","34.2"
"28.7.2021 ","6:00","23.68042","37.98189","34.3"
"28.7.2021 ","6:00","23.68494","37.98148","34.1"
"28.7.2021 ","6:00","23.68945","37.98106","34.1"
"28.7.2021 ","6:00","23.68546","37.98503","34.2"
"28.7.2021 ","6:00","23.68997","37.98463","34.1"
"28.7.2021 ","6:00","23.69049","37.98819","34.1"
"28.7.2021 ","6:00","23.69104","37.99174","34.1"
"28.7.2021 ","7:00","23.67487","37.97518","38.1"
"28.7.2021 ","7:00","23.67938","37.97477","37.9"
"28.7.2021 ","7:00","23.6839","37.97435","37.8"
"28.7.2021 ","7:00","23.67538","37.97873","38.1"
"28.7.2021 ","7:00","23.6799","37.97832","37.9"
"28.7.2021 ","7:00","23.68442","37.97792","37.8"
"28.7.2021 ","7:00","23.58554","37.9905","35.2"
"28.7.2021 ","7:00","23.68042","37.98189","37.9"
"28.7.2021 ","7:00","23.68494","37.98148","37.8"
"28.7.2021 ","7:00","23.68945","37.98106","37.6"
"28.7.2021 ","7:00","23.58606","37.99406","35.7"
"28.7.2021 ","7:00","23.68546","37.98503","37.8"
"28.7.2021 ","7:00","23.68997","37.98463","37.7"
"28.7.2021 ","7:00","23.68597","37.9886","38.0"
"28.7.2021 ","7:00","23.69049","37.98819","37.7"
"28.7.2021 ","7:00","23.69104","37.99174","37.7"
"28.7.2021 ","8:00","23.67487","37.97518","40.4"
"28.7.2021 ","8:00","23.67938","37.97477","40.2"
"28.7.2021 ","8:00","23.6839","37.97435","40.1"
"28.7.2021 ","8:00","23.67538","37.97873","40.4"
"28.7.2021 ","8:00","23.6799","37.97832","40.2"
"28.7.2021 ","8:00","23.68442","37.97792","40.1"
"28.7.2021 ","8:00","23.6759","37.9823","40.5"
"28.7.2021 ","8:00","23.68042","37.98189","40.2"
"28.7.2021 ","8:00","23.68494","37.98148","40.1"
"28.7.2021 ","8:00","23.68945","37.98106","39.8"
"28.7.2021 ","8:00","23.68546","37.98503","40.1"
"28.7.2021 ","8:00","23.68997","37.98463","39.9"
"28.7.2021 ","8:00","23.68597","37.9886","40.2"
"28.7.2021 ","8:00","23.69049","37.98819","39.9"
"28.7.2021 ","8:00","23.69104","37.99174","39.9"
"28.7.2021 ","8:00","23.6954","38.0527","39.7"
"28.7.2021 ","9:00","23.67487","37.97518","41.8"
"28.7.2021 ","9:00","23.67938","37.97477","41.7"
"28.7.2021 ","9:00","23.6839","37.97435","41.4"
"28.7.2021 ","9:00","23.67538","37.97873","41.7"
"28.7.2021 ","9:00","23.6799","37.97832","41.7"
"28.7.2021 ","9:00","23.68442","37.97792","41.5"
"28.7.2021 ","9:00","23.59457","37.98969","39.6"
"28.7.2021 ","9:00","23.59909","37.98928","39.2"
"28.7.2021 ","9:00","23.68042","37.98189","41.7"
"28.7.2021 ","9:00","23.68494","37.98148","41.5"
"28.7.2021 ","9:00","23.68945","37.98106","41.4"
"28.7.2021 ","9:00","23.59509","37.99325","39.9"
"28.7.2021 ","9:00","23.59961","37.99284","40.1"
"28.7.2021 ","9:00","23.68546","37.98503","41.5"
"28.7.2021 ","9:00","23.68997","37.98463","41.4"
"28.7.2021 ","9:00","23.59561","37.99681","38.7"
"28.7.2021 ","9:00","23.60013","37.9964","39.7"
"28.7.2021 ","9:00","23.68597","37.9886","41.7"
"28.7.2021 ","9:00","23.69049","37.98819","41.4"
"28.7.2021 ","9:00","23.59613","38.00037","37.9"
"28.7.2021 ","9:00","23.60065","37.99996","37.8"
"28.7.2021 ","9:00","23.69104","37.99174","41.4"
"28.7.2021 ","9:00","23.59665","38.00393","37.5"
"28.7.2021 ","9:00","23.59717","38.00748","38.9"
"28.7.2021 ","9:00","23.59769","38.01105","39.7"
"28.7.2021 ","10:00","23.67487","37.97518","42.7"
"28.7.2021 ","10:00","23.67938","37.97477","42.6"
"28.7.2021 ","10:00","23.6839","37.97435","42.5"
"28.7.2021 ","10:00","23.67538","37.97873","42.7"
"28.7.2021 ","10:00","23.6799","37.97832","42.6"
"28.7.2021 ","10:00","23.68442","37.97792","42.4"
"28.7.2021 ","10:00","23.65784","37.98396","42.9"
"28.7.2021 ","10:00","23.68042","37.98189","42.6"
"28.7.2021 ","10:00","23.68494","37.98148","42.4"
"28.7.2021 ","10:00","23.68945","37.98106","42.4"
"28.7.2021 ","10:00","23.57251","37.99528","41.8"
"28.7.2021 ","10:00","23.64932","37.98832","42.6"
"28.7.2021 ","10:00","23.68546","37.98503","42.5"
"28.7.2021 ","10:00","23.68997","37.98463","42.4"
