"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.66687","37.98312","23.2"
"28.7.2021 ","0:00","23.63229","37.99709","18.7"
"28.7.2021 ","0:00","23.63681","37.99668","19.2"
"28.7.2021 ","0:00","23.64133","37.99627","22.0"
"28.7.2021 ","0:00","23.61023","38.0027","18.3"
"28.7.2021 ","0:00","23.63281","38.00066","18.5"
"28.7.2021 ","0:00","23.63733","38.00024","19.7"
"28.7.2021 ","0:00","23.64185","37.99983","21.2"
"28.7.2021 ","0:00","23.64636","37.99941","20.4"
"28.7.2021 ","0:00","23.65088","37.99901","20.4"
"28.7.2021 ","0:00","23.6554","37.9986","21.1"
"28.7.2021 ","0:00","23.61526","38.00586","18.1"
"28.7.2021 ","0:00","23.61978","38.00545","17.2"
"28.7.2021 ","0:00","23.6243","38.00504","17.0"
"28.7.2021 ","0:00","23.62881","38.00462","17.4"
"28.7.2021 ","0:00","23.63333","38.00422","18.5"
"28.7.2021 ","0:00","23.63785","38.00381","19.3"
"28.7.2021 ","0:00","23.64236","38.00339","19.3"
"28.7.2021 ","0:00","23.64688","38.00298","20.0"
"28.7.2021 ","0:00","23.6514","38.00256","20.7"
"28.7.2021 ","0:00","23.6203","38.00901","18.3"
"28.7.2021 ","0:00","23.62482","38.00859","17.8"
"28.7.2021 ","0:00","23.62933","38.00819","17.9"
"28.7.2021 ","0:00","23.63385","38.00777","18.5"
"28.7.2021 ","0:00","23.63837","38.00737","19.1"
"28.7.2021 ","0:00","23.64288","38.00695","19.5"
"28.7.2021 ","0:00","23.62534","38.01216","19.0"
"28.7.2021 ","0:00","23.62985","38.01174","18.6"
"28.7.2021 ","0:00","23.6434","38.01051","20.3"
"28.7.2021 ","0:00","23.63489","38.01489","20.3"
"28.7.2021 ","0:00","23.6394","38.01449","20.2"
"28.7.2021 ","0:00","23.64392","38.01408","20.8"
"28.7.2021 ","0:00","23.63541","38.01846","19.5"
"28.7.2021 ","0:00","23.63992","38.01805","20.9"
"28.7.2021 ","0:00","23.63593","38.02203","20.0"
"28.7.2021 ","0:00","23.64044","38.02161","19.5"
"28.7.2021 ","0:00","23.64951","38.02078","21.2"
"28.7.2021 ","0:00","23.64551","38.02476","19.2"
"28.7.2021 ","0:00","23.65002","38.02435","19.2"
"28.7.2021 ","0:00","23.65454","38.02394","19.6"
"28.7.2021 ","0:00","23.65906","38.02353","20.6"
"28.7.2021 ","0:00","23.65958","38.02709","21.7"
"28.7.2021 ","0:00","23.66409","38.02668","22.1"
"28.7.2021 ","0:00","23.65558","38.03107","20.4"
"28.7.2021 ","0:00","23.6601","38.03065","20.5"
"28.7.2021 ","0:00","23.66461","38.03023","20.9"
"28.7.2021 ","0:00","23.66913","38.02982","22.1"
"28.7.2021 ","0:00","23.71887","38.02528","22.9"
"28.7.2021 ","0:00","23.66061","38.03421","19.9"
