"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.65784","37.98396","23.2"
"28.7.2021 ","0:00","23.66235","37.98354","23.6"
"28.7.2021 ","0:00","23.64932","37.98832","22.6"
"28.7.2021 ","0:00","23.65384","37.98791","22.7"
"28.7.2021 ","0:00","23.65836","37.9875","23.1"
"28.7.2021 ","0:00","23.66287","37.9871","23.5"
"28.7.2021 ","0:00","23.64532","37.9923","22.0"
"28.7.2021 ","0:00","23.64984","37.99189","22.2"
"28.7.2021 ","0:00","23.65436","37.99148","22.3"
"28.7.2021 ","0:00","23.65887","37.99107","22.9"
"28.7.2021 ","0:00","23.66339","37.99065","23.1"
"28.7.2021 ","0:00","23.60516","37.99955","18.3"
"28.7.2021 ","0:00","23.60971","37.99914","17.4"
"28.7.2021 ","0:00","23.64133","37.99627","22.0"
"28.7.2021 ","0:00","23.65488","37.99504","22.3"
"28.7.2021 ","0:00","23.65939","37.99464","22.7"
"28.7.2021 ","0:00","23.66391","37.99422","23.1"
"28.7.2021 ","0:00","23.61023","38.0027","17.9"
"28.7.2021 ","0:00","23.61475","38.00229","17.4"
"28.7.2021 ","0:00","23.64636","37.99941","20.4"
"28.7.2021 ","0:00","23.65088","37.99901","20.3"
"28.7.2021 ","0:00","23.6554","37.9986","21.1"
"28.7.2021 ","0:00","23.65991","37.99819","22.5"
"28.7.2021 ","0:00","23.66443","37.99778","23.2"
"28.7.2021 ","0:00","23.61526","38.00586","17.9"
"28.7.2021 ","0:00","23.61978","38.00545","17.2"
"28.7.2021 ","0:00","23.6243","38.00504","17.1"
"28.7.2021 ","0:00","23.62881","38.00462","17.4"
"28.7.2021 ","0:00","23.63333","38.00422","18.6"
"28.7.2021 ","0:00","23.63785","38.00381","19.5"
"28.7.2021 ","0:00","23.66046","38.00175","22.5"
"28.7.2021 ","0:00","23.6022","38.01065","20.5"
"28.7.2021 ","0:00","23.60675","38.01023","19.6"
"28.7.2021 ","0:00","23.6203","38.00901","18.2"
"28.7.2021 ","0:00","23.62482","38.00859","17.8"
"28.7.2021 ","0:00","23.60724","38.0138","20.3"
"28.7.2021 ","0:00","23.62534","38.01216","18.8"
"28.7.2021 ","0:00","23.61682","38.01655","20.2"
"28.7.2021 ","0:00","23.62637","38.01927","20.0"
"28.7.2021 ","0:00","23.63089","38.01886","20.0"
"28.7.2021 ","0:00","23.63593","38.02203","19.9"
"28.7.2021 ","0:00","23.64044","38.02161","19.5"
"28.7.2021 ","0:00","23.65906","38.02353","20.4"
"28.7.2021 ","0:00","23.65054","38.02792","19.5"
"28.7.2021 ","0:00","23.65506","38.0275","20.2"
"28.7.2021 ","0:00","23.65958","38.02709","21.4"
"28.7.2021 ","0:00","23.66409","38.02668","22.1"
"28.7.2021 ","0:00","23.65558","38.03107","20.5"
"28.7.2021 ","0:00","23.6601","38.03065","20.6"
"28.7.2021 ","0:00","23.66461","38.03023","20.9"
"28.7.2021 ","0:00","23.66913","38.02982","21.9"
"28.7.2021 ","0:00","23.71887","38.02528","22.9"
"28.7.2021 ","0:00","23.66061","38.03421","20.0"
"28.7.2021 ","0:00","23.66516","38.03379","20.7"
"28.7.2021 ","0:00","23.66968","38.03339","21.9"
"28.7.2021 ","0:00","23.71939","38.02884","22.2"
"28.7.2021 ","0:00","23.66113","38.03777","20.0"
"28.7.2021 ","0:00","23.66568","38.03736","21.0"
"28.7.2021 ","0:00","23.6702","38.03695","22.7"
"28.7.2021 ","0:00","23.67471","38.03653","23.1"
"28.7.2021 ","0:00","23.67072","38.04051","22.7"
"28.7.2021 ","0:00","23.67575","38.04367","23.0"
"28.7.2021 ","0:00","23.70795","38.04432","23.0"
"28.7.2021 ","0:00","23.70847","38.04789","22.9"
"28.7.2021 ","0:00","23.7135","38.05103","22.4"
"28.7.2021 ","0:00","23.71402","38.0546","22.5"
"28.7.2021 ","1:00","23.6839","37.97435","22.7"
"28.7.2021 ","1:00","23.59717","38.00748","19.4"
"28.7.2021 ","1:00","23.59769","38.01105","19.7"
"28.7.2021 ","1:00","23.71225","38.01146","22.8"
"28.7.2021 ","1:00","23.71677","38.01104","22.7"
"28.7.2021 ","1:00","23.71729","38.01461","23.1"
"28.7.2021 ","1:00","23.67712","38.02188","22.3"
"28.7.2021 ","1:00","23.66861","38.02626","21.5"
"28.7.2021 ","1:00","23.70984","38.02611","22.5"
"28.7.2021 ","1:00","23.70584","38.03009","22.2"
"28.7.2021 ","1:00","23.67072","38.04051","21.6"
"28.7.2021 ","1:00","23.67975","38.03968","22.9"
"28.7.2021 ","1:00","23.7114","38.03679","22.0"
"28.7.2021 ","1:00","23.68985","38.04598","22.7"
"28.7.2021 ","1:00","23.71857","38.05418","22.6"
"28.7.2021 ","2:00","23.67035","37.97559","20.7"
"28.7.2021 ","2:00","23.67487","37.97518","21.9"
"28.7.2021 ","2:00","23.67087","37.97914","20.0"
"28.7.2021 ","2:00","23.67538","37.97873","22.0"
"28.7.2021 ","2:00","23.66687","37.98312","20.2"
"28.7.2021 ","2:00","23.67139","37.98271","21.2"
"28.7.2021 ","2:00","23.64932","37.98832","20.5"
"28.7.2021 ","2:00","23.65384","37.98791","20.7"
"28.7.2021 ","2:00","23.66739","37.98669","21.1"
"28.7.2021 ","2:00","23.67191","37.98627","21.9"
"28.7.2021 ","2:00","23.65436","37.99148","19.8"
"28.7.2021 ","2:00","23.65887","37.99107","21.2"
"28.7.2021 ","2:00","23.66791","37.99025","20.5"
"28.7.2021 ","2:00","23.66843","37.9938","21.2"
"28.7.2021 ","2:00","23.60675","38.01023","17.1"
"28.7.2021 ","2:00","23.62585","38.01572","17.2"
"28.7.2021 ","2:00","23.63089","38.01886","17.5"
"28.7.2021 ","2:00","23.63992","38.01805","17.7"
"28.7.2021 ","2:00","23.63593","38.02203","17.5"
"28.7.2021 ","2:00","23.65402","38.02038","18.5"
"28.7.2021 ","2:00","23.68533","38.0464","22.1"
"28.7.2021 ","2:00","23.72202","38.04665","21.4"
"28.7.2021 ","2:00","23.6954","38.0527","21.8"
"28.7.2021 ","2:00","23.69995","38.05228","21.8"
"28.7.2021 ","2:00","23.72253","38.05021","21.3"
"28.7.2021 ","2:00","23.70047","38.05584","21.1"
"28.7.2021 ","3:00","23.60675","38.01023","16.2"
"28.7.2021 ","4:00","23.67087","37.97914","23.0"
"28.7.2021 ","4:00","23.68945","37.98106","23.4"
"28.7.2021 ","4:00","23.57251","37.99528","19.2"
"28.7.2021 ","4:00","23.60516","37.99955","16.8"
"28.7.2021 ","4:00","23.63681","37.99668","18.4"
"28.7.2021 ","4:00","23.63733","38.00024","19.3"
"28.7.2021 ","4:00","23.67349","37.99695","22.9"
