"date","time","lon","lat","mPET"
"28.7.2021 ","0:00","23.65784","37.98396","23.4"
"28.7.2021 ","0:00","23.66235","37.98354","23.8"
"28.7.2021 ","0:00","23.64932","37.98832","22.9"
"28.7.2021 ","0:00","23.65384","37.98791","22.9"
"28.7.2021 ","0:00","23.65836","37.9875","23.3"
"28.7.2021 ","0:00","23.66287","37.9871","23.7"
"28.7.2021 ","0:00","23.64532","37.9923","22.2"
"28.7.2021 ","0:00","23.64984","37.99189","22.4"
"28.7.2021 ","0:00","23.65436","37.99148","22.6"
"28.7.2021 ","0:00","23.65887","37.99107","23.1"
"28.7.2021 ","0:00","23.66339","37.99065","23.3"
"28.7.2021 ","0:00","23.60516","37.99955","18.5"
"28.7.2021 ","0:00","23.60971","37.99914","17.6"
"28.7.2021 ","0:00","23.64133","37.99627","22.2"
"28.7.2021 ","0:00","23.65488","37.99504","22.6"
"28.7.2021 ","0:00","23.65939","37.99464","23.0"
"28.7.2021 ","0:00","23.66391","37.99422","23.3"
"28.7.2021 ","0:00","23.61023","38.0027","18.1"
"28.7.2021 ","0:00","23.61475","38.00229","17.6"
"28.7.2021 ","0:00","23.64636","37.99941","20.6"
"28.7.2021 ","0:00","23.65088","37.99901","20.5"
"28.7.2021 ","0:00","23.6554","37.9986","21.3"
"28.7.2021 ","0:00","23.65991","37.99819","22.7"
"28.7.2021 ","0:00","23.66443","37.99778","23.4"
"28.7.2021 ","0:00","23.61526","38.00586","18.1"
"28.7.2021 ","0:00","23.61978","38.00545","17.4"
"28.7.2021 ","0:00","23.6243","38.00504","17.3"
"28.7.2021 ","0:00","23.62881","38.00462","17.6"
"28.7.2021 ","0:00","23.63333","38.00422","18.8"
"28.7.2021 ","0:00","23.63785","38.00381","19.7"
"28.7.2021 ","0:00","23.66046","38.00175","22.7"
"28.7.2021 ","0:00","23.6022","38.01065","20.6"
"28.7.2021 ","0:00","23.60675","38.01023","19.7"
"28.7.2021 ","0:00","23.6203","38.00901","18.4"
"28.7.2021 ","0:00","23.62482","38.00859","18.0"
"28.7.2021 ","0:00","23.60724","38.0138","20.5"
"28.7.2021 ","0:00","23.62534","38.01216","19.0"
"28.7.2021 ","0:00","23.61682","38.01655","20.3"
"28.7.2021 ","0:00","23.62637","38.01927","20.2"
"28.7.2021 ","0:00","23.63089","38.01886","20.2"
"28.7.2021 ","0:00","23.63593","38.02203","20.1"
"28.7.2021 ","0:00","23.64044","38.02161","19.7"
"28.7.2021 ","0:00","23.65906","38.02353","20.6"
"28.7.2021 ","0:00","23.65054","38.02792","19.7"
"28.7.2021 ","0:00","23.65506","38.0275","20.4"
"28.7.2021 ","0:00","23.65958","38.02709","21.6"
"28.7.2021 ","0:00","23.66409","38.02668","22.3"
"28.7.2021 ","0:00","23.65558","38.03107","20.7"
"28.7.2021 ","0:00","23.6601","38.03065","20.8"
"28.7.2021 ","0:00","23.66461","38.03023","21.1"
"28.7.2021 ","0:00","23.66913","38.02982","22.1"
"28.7.2021 ","0:00","23.71887","38.02528","23.2"
"28.7.2021 ","0:00","23.66061","38.03421","20.2"
"28.7.2021 ","0:00","23.66516","38.03379","20.9"
"28.7.2021 ","0:00","23.66968","38.03339","22.1"
