"date","time","lon","lat","mPET"
"30.7.2021 ","0:00","23.6839","37.97435","23.5"
"30.7.2021 ","0:00","23.68442","37.97792","23.5"
"30.7.2021 ","0:00","23.68945","37.98106","23.4"
"30.7.2021 ","1:00","23.59006","37.99009","21.8"
"30.7.2021 ","1:00","23.68945","37.98106","23.1"
"30.7.2021 ","1:00","23.68997","37.98463","23.1"
"30.7.2021 ","1:00","23.69049","37.98819","23.2"
"30.7.2021 ","1:00","23.66516","38.03379","20.9"
"30.7.2021 ","1:00","23.66568","38.03736","20.5"
"30.7.2021 ","1:00","23.66168","38.04133","19.5"
"30.7.2021 ","1:00","23.6662","38.04093","19.8"
"30.7.2021 ","1:00","23.67072","38.04051","20.5"
"30.7.2021 ","1:00","23.67523","38.0401","22.3"
"30.7.2021 ","1:00","23.6622","38.0449","19.0"
"30.7.2021 ","1:00","23.66672","38.04448","19.3"
"30.7.2021 ","1:00","23.67123","38.04407","19.5"
"30.7.2021 ","1:00","23.66272","38.04845","18.8"
"30.7.2021 ","1:00","23.66724","38.04804","19.1"
"30.7.2021 ","1:00","23.67175","38.04763","19.4"
"30.7.2021 ","1:00","23.67786","38.0579","20.6"
"30.7.2021 ","1:00","23.68289","38.06105","19.9"
"30.7.2021 ","3:00","23.72046","38.03597","21.0"
"30.7.2021 ","4:00","23.70929","38.02256","22.4"
"30.7.2021 ","4:00","23.70984","38.02611","22.2"
"30.7.2021 ","4:00","23.71436","38.0257","22.4"
"30.7.2021 ","4:00","23.69836","38.04159","22.2"
"30.7.2021 ","4:00","23.7034","38.04474","21.6"
"30.7.2021 ","4:00","23.70847","38.04789","21.3"
"30.7.2021 ","5:00","23.66357","38.02311","28.4"
"30.7.2021 ","5:00","23.69836","38.04159","28.9"
"30.7.2021 ","5:00","23.70288","38.04118","29.0"
"30.7.2021 ","6:00","23.6839","37.97435","35.9"
"30.7.2021 ","6:00","23.68442","37.97792","36.0"
"30.7.2021 ","6:00","23.68494","37.98148","36.0"
"30.7.2021 ","6:00","23.69659","37.99846","36.2"
"30.7.2021 ","6:00","23.70111","37.99804","35.9"
"30.7.2021 ","7:00","23.67487","37.97518","40.3"
